company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,8437.4,8437.4,8437.4,8437.4,8437.4,8437.4,"{""form_processed"": 1}"
Advertima Vision,1,1,2670.8,2670.8,2670.8,2670.8,2670.8,2670.8,"{""form_processed"": 1}"
aity AG,2,2,11840.8,10919.9,5920.4,5920.4,8158.6,8158.6,"{""form_processed"": 2}"
Alohi,1,1,2045.1,2045.1,2045.1,2045.1,2045.1,2045.1,"{""form_processed"": 1}"
Ansam Group,2,2,7513.8,63071.4,3756.9,3756.9,5144.7,5144.7,"{""authentication_required"": 2}"
ANYbotics,1,1,3776.2,3776.2,3776.2,3776.2,3776.2,3776.2,"{""form_processed"": 1}"
Arina,1,1,8310.8,8310.9,8310.8,8310.8,8310.8,8310.8,"{""no_application_form"": 1}"
AutoForm,2,2,10011.5,5006.3,5005.8,5005.8,5006.2,5006.2,"{""form_processed"": 2}"
Baker Hughes,1,1,212.4,212.4,212.4,212.4,212.4,212.4,"{""skipped_by_metadata"": 1}"
BCG,4,4,103249.6,41759.4,25812.4,26012.6,40295.0,40295.0,"{""no_application_form"": 2, ""workflow_failed"": 2}"
BKW,1,1,20742.3,20742.4,20742.3,20742.3,20742.3,20742.3,"{""form_processed"": 1}"
Brack,1,1,9392.6,9392.6,9392.6,9392.6,9392.6,9392.6,"{""form_processed"": 1}"
BS-Team,3,3,21460.8,31853.8,7153.6,5080.1,12172.5,12172.5,"{""form_processed"": 3}"
Bundesverwaltung,4,4,37323.5,74371.1,9330.9,6536.2,19636.5,19636.5,"{""authentication_required"": 4}"
Crypto Finance AG,2,2,11835.9,17114.4,5917.9,5917.9,5947.0,5947.0,"{""form_processed"": 2}"
CSS,2,2,19634.0,24793.7,9817.0,9817.0,12422.9,12422.9,"{""form_processed"": 2}"
DeepJudge,1,1,3409.2,3409.2,3409.2,3409.2,3409.2,3409.2,"{""form_processed"": 1}"
