company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,5514.9,5514.9,5514.9,5514.9,5514.9,5514.9,"{""form_processed"": 1}"
Advertima Vision,1,1,2006.5,2006.4,2006.5,2006.5,2006.5,2006.5,"{""form_processed"": 1}"
aity AG,2,2,10221.8,8587.6,5110.9,5110.9,6392.7,6392.7,"{""form_processed"": 2}"
Alohi,1,1,2008.6,2008.6,2008.6,2008.6,2008.6,2008.6,"{""form_processed"": 1}"
Ansam Group,2,2,4934.7,47358.6,2467.3,2467.3,3314.5,3314.5,"{""authentication_required"": 2}"
ANYbotics,1,1,4886.3,4886.3,4886.3,4886.3,4886.3,4886.3,"{""form_processed"": 1}"
Arina,1,1,8958.3,8958.3,8958.3,8958.3,8958.3,8958.3,"{""no_application_form"": 1}"
AutoForm,2,2,10210.8,5362.7,5105.4,5105.4,5362.6,5362.6,"{""form_processed"": 2}"
Baker Hughes,1,1,216.8,216.8,216.8,216.8,216.8,216.8,"{""skipped_by_metadata"": 1}"
BCG,4,4,24220.9,6875.0,6055.2,6121.8,6875.1,6875.1,"{""no_application_form"": 4}"
BKW,1,1,15238.0,15238.0,15238.0,15238.0,15238.0,15238.0,"{""form_processed"": 1}"
Brack,1,1,7389.3,7389.3,7389.3,7389.3,7389.3,7389.3,"{""form_processed"": 1}"
BS-Team,3,3,18599.8,25694.9,6199.9,3592.2,11508.7,11508.7,"{""form_processed"": 3}"
Bundesverwaltung,4,4,32609.7,57807.4,8152.4,6337.5,15070.2,15070.2,"{""authentication_required"": 4}"
Crypto Finance AG,2,2,11216.5,14885.5,5608.2,5608.2,5778.8,5778.8,"{""form_processed"": 2}"
CSS,2,2,20017.6,24142.0,10008.8,10008.8,11986.0,11986.0,"{""form_processed"": 2}"
DeepJudge,1,1,2711.8,2711.8,2711.8,2711.8,2711.8,2711.8,"{""form_processed"": 1}"
Destinus,1,1,7030.7,7030.7,7030.7,7030.7,7030.7,7030.7,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,6642.1,6642.1,6642.1,6642.1,6642.1,6642.1,"{""form_processed"": 1}"
EPAM,1,1,6867.9,6868.0,6867.9,6867.9,6867.9,6867.9,"{""no_application_form"": 1}"
Eraneos,5,5,1049.9,10013.8,210.0,213.5,217.1,217.1,"{""skipped_by_metadata"": 5}"
Expleo,2,2,617.9,619.4,309.0,309.0,402.1,402.1,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,3252.6,3252.5,3252.6,3252.6,3252.6,3252.6,"{""form_processed"": 1}"
finnova,2,2,15950.3,18802.1,7975.1,7975.1,8669.9,8669.9,"{""no_application_form"": 2}"
Harmattan AI,1,1,1762.1,1762.1,1762.1,1762.1,1762.1,1762.1,"{""form_processed"": 1}"
Hoshii AG,1,1,8488.5,8488.4,8488.5,8488.5,8488.5,8488.5,"{""no_application_form"": 1}"
Julius Bär,2,2,417.0,26791.5,208.5,208.5,214.8,214.8,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,5914.3,5914.3,5914.3,5914.3,5914.3,5914.3,"{""form_processed"": 1}"
Kanton Luzern,3,3,14342.5,14474.7,4780.8,5802.9,6053.5,6053.5,"{""form_processed"": 3}"
Meier Tobler,1,1,11519.6,11519.6,11519.6,11519.6,11519.6,11519.6,"{""no_application_form"": 1}"
Mettler Toledo,1,1,9874.6,9874.6,9874.6,9874.6,9874.6,9874.6,"{""no_application_form"": 1}"
Microservice Solutions,1,1,10892.0,10892.0,10892.0,10892.0,10892.0,10892.0,"{""no_application_form"": 1}"
Microsoft,1,1,15016.6,15016.6,15016.6,15016.6,15016.6,15016.6,"{""no_application_form"": 1}"
Mimic,2,2,13885.2,42315.1,6942.6,6942.6,7643.3,7643.3,"{""form_processed"": 2}"
Monolithic Power Systems,1,1,218.7,218.7,218.7,218.7,218.7,218.7,"{""skipped_by_metadata"": 1}"
MSC Cruises,2,2,76821.6,43988.7,38410.8,38410.8,40285.1,40285.1,"{""workflow_failed"": 2}"
NVIDIA,1,1,13998.0,13998.1,13998.0,13998.0,13998.0,13998.0,"{""no_application_form"": 1}"
NZZ,1,1,7658.5,7658.5,7658.5,7658.5,7658.5,7658.5,"{""form_processed"": 1}"
ONLU AG,1,1,3532.9,3532.9,3532.9,3532.9,3532.9,3532.9,"{""form_processed"": 1}"
Pax,1,1,7003.2,7003.2,7003.2,7003.2,7003.2,7003.2,"{""form_processed"": 1}"
Richemont,1,1,1987.1,1987.1,1987.1,1987.1,1987.1,1987.1,"{""no_application_form"": 1}"
Rivia,1,1,3769.8,3769.7,3769.8,3769.8,3769.8,3769.8,"{""no_application_form"": 1}"
Roche,1,1,400.4,400.5,400.4,400.4,400.4,400.4,"{""skipped_by_metadata"": 1}"
RUAG,5,5,53039.6,38355.9,10607.9,12157.6,15720.7,15720.7,"{""form_processed"": 5}"
Salesforce,7,7,1468.7,24702.3,209.8,210.9,217.7,217.7,"{""skipped_by_metadata"": 7}"
SonarSource,2,2,6771.1,13100.7,3385.6,3385.6,3683.4,3683.4,"{""form_processed"": 2}"
Thomson Reuters,1,1,217.5,217.4,217.5,217.5,217.5,217.5,"{""skipped_by_metadata"": 1}"
ti&m,8,8,53177.7,30576.0,6647.2,6184.5,11007.1,11007.1,"{""form_processed"": 2, ""no_application_form"": 6}"
Universitätsspital Zürich,1,1,4256.9,4256.9,4256.9,4256.9,4256.9,4256.9,"{""generic_form"": 1}"
Vaudoise,2,2,10089.7,16421.0,5044.9,5044.9,6481.1,6481.1,"{""form_processed"": 2}"
vlot,1,1,13105.6,13105.7,13105.6,13105.6,13105.6,13105.6,"{""no_application_form"": 1}"
Wavestone,2,2,18589.3,16756.2,9294.6,9294.6,10670.5,10670.5,"{""form_processed"": 2}"
Zürcher Kantonalbank,4,4,14633.9,32094.8,3658.5,3523.7,4471.5,4471.5,"{""form_processed"": 4}"
