company,attempts,successful_worker_attempts,sum_attempt_duration_ms,observed_span_ms,mean_attempt_ms,median_attempt_ms,p95_attempt_ms,max_attempt_ms,statuses
adesso,1,1,11089.3,11089.3,11089.3,11089.3,11089.3,11089.3,"{""form_processed"": 1}"
Advertima Vision,1,1,15707.7,15707.7,15707.7,15707.7,15707.7,15707.7,"{""form_processed"": 1}"
aity AG,2,2,14186.1,14187.9,7093.1,7093.1,10925.1,10925.1,"{""form_processed"": 2}"
Alohi,1,1,2585.8,2585.8,2585.8,2585.8,2585.8,2585.8,"{""form_processed"": 1}"
Ansam Group,2,2,10861.4,83653.5,5430.7,5430.7,7778.9,7778.9,"{""authentication_required"": 2}"
ANYbotics,1,1,6735.6,6735.6,6735.6,6735.6,6735.6,6735.6,"{""form_processed"": 1}"
Arina,1,1,8566.6,8566.6,8566.6,8566.6,8566.6,8566.6,"{""no_application_form"": 1}"
AutoForm,2,2,14437.1,8435.2,7218.6,7218.6,8435.2,8435.2,"{""form_processed"": 2}"
Baker Hughes,1,1,61.8,61.8,61.8,61.8,61.8,61.8,"{""skipped_by_metadata"": 1}"
BCG,4,4,105474.6,26388.7,26368.7,26372.5,26388.6,26388.6,"{""no_application_form"": 4}"
BKW,1,1,19359.7,19359.7,19359.7,19359.7,19359.7,19359.7,"{""form_processed"": 1}"
Brack,1,1,15410.7,15410.7,15410.7,15410.7,15410.7,15410.7,"{""form_processed"": 1}"
BS-Team,3,3,33578.8,47688.1,11192.9,4433.7,25309.5,25309.5,"{""form_processed"": 3}"
Bundesverwaltung,4,4,59522.7,99287.6,14880.7,14106.8,25298.2,25298.2,"{""authentication_required"": 3, ""workflow_failed"": 1}"
Crypto Finance AG,2,2,13152.8,21858.4,6576.4,6576.4,6707.3,6707.3,"{""form_processed"": 2}"
CSS,2,2,33783.4,39521.3,16891.7,16891.7,24009.0,24009.0,"{""form_processed"": 2}"
DeepJudge,1,1,6419.8,6419.8,6419.8,6419.8,6419.8,6419.8,"{""form_processed"": 1}"
Destinus,1,1,7009.2,7009.2,7009.2,7009.2,7009.2,7009.2,"{""form_processed"": 1}"
Digital Wave Finance AG,1,1,10945.9,10945.9,10945.9,10945.9,10945.9,10945.9,"{""form_processed"": 1}"
EPAM,1,1,12833.5,12833.6,12833.5,12833.5,12833.5,12833.5,"{""no_application_form"": 1}"
Eraneos,5,5,308.8,23326.9,61.8,61.8,62.1,62.1,"{""skipped_by_metadata"": 5}"
Expleo,2,2,341.0,342.9,170.5,170.5,278.7,278.7,"{""skipped_by_metadata"": 2}"
Fincons Group,1,1,6075.5,6075.5,6075.5,6075.5,6075.5,6075.5,"{""form_processed"": 1}"
finnova,2,2,30611.9,29133.5,15306.0,15306.0,19241.5,19241.5,"{""no_application_form"": 2}"
Harmattan AI,1,1,4861.8,4861.8,4861.8,4861.8,4861.8,4861.8,"{""form_processed"": 1}"
Hoshii AG,1,1,10589.0,10589.0,10589.0,10589.0,10589.0,10589.0,"{""no_application_form"": 1}"
Julius Bär,2,2,123.5,50579.3,61.8,61.8,62.6,62.6,"{""skipped_by_metadata"": 2}"
Kanton Genf,1,1,8858.8,8858.7,8858.8,8858.8,8858.8,8858.8,"{""form_processed"": 1}"
